950106013-044	19	23	しかし、並立制が連立政権を求めている	かというと	、そうではない。	1=>W:話題,0=>その他
950106061-001	6	8	チュニジア	からの	報道によると、チュニスで開かれていたアラブ内相会議は５日、イスラム原理主義グループなどによるテロへの共同対処を盛り込んだ共同戦略で合意、閉幕した。	1=>D:起点,0=>その他
950106046-002	34	36	米海軍グアンタナモ基地に収容されている約四千四千五百五百人のハイチ	からの	難民が、昨年十月のアリスティド大統領復権後も祖国帰還を拒否し、米政府は対応に苦慮している。	1=>D:起点,0=>その他
950106187-006	25	27	しかし、度重なる空爆で民間人の死者が増大し、西側	からの	政治解決を求める“外圧”が強まった。	1=>D:起点,0=>その他
950402032-002	4	6	旧ソ連	からの	核物質の密輸事件や朝鮮民主主義人民共和国の“核疑惑”は、冷戦の終結が自動的に「より安全な世界」につながるものではないことを示した。	1=>D:起点,0=>その他
950106191-004	6	8	共産党会派	からの	入閣はエリツィン政権発足以来、初めて。	1=>D:起点,0=>その他
950106045-003	46	48	モガディシオからの報道によると、協定は激戦地となった同市同市内ベルムダ地区へのすべての道路	からの	兵力撤退など三項目からなり、五日午前六時から発効。	1=>D:起点,0=>その他
950106191-010	6	8	保守系会派	からの	入閣は三人目。	1=>D:起点,0=>その他
950106005-002	20	22	チェチェン情勢はエリツィン大統領が五日	からの	首都グロズヌイへの空爆中止を命令したにもかかわらず、同日午後ロシア軍機による首都への空爆が行われた。	1=>D:起点,0=>その他
950106187-005	28	30	チェチェン進攻にあたってロシアは「内政問題」を盾に外国	からの	批判をかわせると判断していたようだ。	1=>D:起点,0=>その他
950106013-038	9	11	二大勢力でやるの	がいい	。	1=>M:勧め,0=>その他
950106013-027	19	22	社会党が全部というのは難しいとは思う	けれども	。	1=>Q:逆接確定,0=>その他
950106177-010	21	25	なぜこれほど南ア国内の交渉に深くかかわる	ことができ	たか、帰任前に話を聞き直し聞き直して思い当たった。	1=>M:可能,0=>その他
950404053-006	25	30	基軸通貨国の米国だけが対外赤字を自国通貨で支払う	ことができる	。	1=>M:可能,0=>その他
950106159-007	21	26	選手たちは号泣したが、金信男監督は「泣く	ことができる	のは、『花園』という目標があったから。先輩たちは泣くことさえできなかった」と振り返る。	1=>M:可能,0=>その他
950106159-007	53	58	選手たちは号泣したが、金信男監督は「泣くことができるのは、『花園』という目標があったから。先輩たちは泣く	ことさえでき	なかった」と振り返る。	1=>M:可能,0=>その他
950106177-007	39	42	まして説得などということは南アと歴史的つながりの深い欧米諸国の大使でも難しい	ことだっ	た。	1=>M:推量,0=>その他
950401039-016	31	33	規制緩和はそれに守られていた人々にとっては既得権益がなくなる	ことで	あり、痛みが伴う。	1=>M:推量,0=>その他
950106211-040	26	28	大学を「卒業」するとは、それほど大変で、重みのある	ことな	のだ。	1=>M:推量,0=>その他
950401040-011	70	72	朝鮮語の「歴史的」との語感には「なお生きている」との意味が込められており、北朝鮮としては、正常化交渉が三党共同宣言に縛られることを確認した	ことに	なる。	1=>T:強調,0=>その他
950106169-002	84	86	渡辺氏が四日の講演で次期参院選について「社会党と連合が独占している二十二十三選挙区でも自民党から候補者を出すべきだ」と、選挙協力よりも独自候補擁立を優先する発言をした	ことに	対するもので、亀井運輸相は閣議後の懇談の席で「三党の協力を壊すような発言は許せない。河野総裁に指導をお願いした。あれは反党反党的言動だ」と厳しい調子で批判した。	1=>T:強調,0=>その他
950106158-010	61	63	ところが、この病院で通常、二人二人部屋を一人一人で使用する場合の料金は五千五千円で、一日一万円の「充電料」を計上していた	ことに	なる。	1=>T:強調,0=>その他
950106014-001	49	51	五十嵐広三官房長官は五日夜、神奈川県知事選で共産党を除く各党が石原信雄官房副長官の擁立で合意した	ことに	ついて、記者団に「与党首脳の判断もあるだろうだろうが、石原氏は村山内閣にとって重要な人であるという考えに変わりはない」と述べ、慎重に対応する姿勢をにじませた。	1=>T:強調,0=>その他
950106011-012	46	50	しかし、同氏は年末の報道各社のインタビューで、執行部が早期の新党結成を二月の党大会で決める	ことにすれ	ば、通常国会前は新党準備会結成にとどめ、離党は先送りする意向をにじませた。	1=>M:意志,0=>その他
950106096-002	68	72	元世界ボクシング評議会ヘビー級王者、ラリー・ホームズが４月８日に当地で現王者のオリバー・マッコールに挑戦、１０年ぶりの王座復活を目指す	ことになっ	た。	1=>M:自然発生,0=>その他
950404053-007	35	39	ドルと金との交換性が停止されてからは、米国はドルの印刷機を回せば済む	ことになっ	た。	1=>M:自然発生,0=>その他
950106154-001	68	72	今年十一月開かれるアジア・太平洋経済協力会議大阪会議では双方向通信システムや新型携帯電話、外国語放送などの日本の情報通信技術が活躍する	ことになり	そうだ。	1=>M:自然発生,0=>その他
950106072-004	52	56	「トリプルチャンス」は、十万円につき一本の懸賞金抽選権があり、毎年十一月十三日に実施する抽選が三回ある	ことになる	。	1=>M:自然発生,0=>その他
950401040-004	23	27	駆け引きの準備を欠くと、相手の手のひらで踊る	ことになる	。	1=>M:自然発生,0=>その他
950106001-004	24	28	両党両党は今後、政策と選挙の双方で連携を深める	ことになる	が、焦点の新党結成については、政党間だけの協議にとどめず、学識経験者、市民グループ代表らを交えて協議する方針で、結成を無理に急ぐ必要はないとの立場と見られる。	1=>M:自然発生,0=>その他
950106138-003	63	67	また、道知事選について、「伊東君は二、三二、三二、三日のうちに要請を受ける。その際には社会党の国会議員三人が脱党し、応援する	ことになる	」と、伊東氏が自民推薦で出馬し、社会党内部にも同調する動きが出るとの見通しを示した。	1=>M:自然発生,0=>その他
950106187-007	22	24	欧米諸国ともチェチェンがロシアの一部である	ことは	確認しながらも、軍事行動のエスカレートを人権の側面から問題視している。	1=>T:強調,0=>その他
950106184-008	45	47	ベテランのある政局ウオッチャーも「イタリアでは政局の重要な節目に関係者が病気でダウンする	ことは	よくあること。今度もその手口に間違いない」と言い切る言い切る。	1=>T:強調,0=>その他
950106013-016	6	8	一緒にやる	ことは	ないだろうだろうが。	1=>T:強調,0=>その他
950106013-063	7	9	茨城のような	ことは	ないにしても、あの結果はかなりの指標になるとは思っている。	1=>T:強調,0=>その他
950106013-007	24	26	だが、自分の持ち味まで押し殺して二大政党になる	ことは	ない。	1=>T:強調,0=>その他
950106177-007	11	13	まして説得などという	ことは	南アと歴史的つながりの深い欧米諸国の大使でも難しいことだった。	1=>T:強調,0=>その他
950106013-026	12	14	新進党にすぐ入るという	ことは	ないかもしれないが、そういう方向に我々がこの党をどう作り上げていくかにかかっていると思う。	1=>T:強調,0=>その他
950402033-011	32	34	裁判では、国が市に対して行政事件訴訟法に基づく抗告訴訟を起こす	ことは	可能かなどのほか、情報公開条例で防衛秘密をどこまで公開できるのかが最大の争点になった。	1=>T:強調,0=>その他
950106013-026	12	16	新進党にすぐ入るという	ことはない	かもしれないが、そういう方向に我々がこの党をどう作り上げていくかにかかっていると思う。	1=>M:不必要,0=>その他
950106013-016	6	10	一緒にやる	ことはない	だろうだろうが。	1=>M:不必要,0=>その他
950106013-007	24	28	だが、自分の持ち味まで押し殺して二大政党になる	ことはない	。	1=>M:不必要,0=>その他
950106093-007	40	44	「大きくけり込まけり込まれるのが怖くて消極的になった」ため、攻撃に厚みをつける	こともでき	ず結局、無得点。	1=>M:可能,0=>その他
950404054-012	32	35	こうした状況の中で、内戦終結の調停役を果たせるのは、やはり国連	しかない	。	1=>M:不可避,0=>その他
950106105-006	21	24	山口明は「八百山と目が合い、自分が決める	しかない	と覚悟した」。	1=>M:不可避,0=>その他
950106149-015	28	30	自治体の廃棄物担当者は「捨てる場所がある、という意識の	せいか	、近畿圏ではリサイクルやごみ問題への危機感が首都圏に比べると低い」と認めている。	1=>Q:理由,2=>M:理由,0=>その他
950106149-001	71	73	大阪湾をごみで埋め立てる「フェニックス計画」に、近畿二府三県の八十八十市町村の自治体が、家庭などから出る一般廃棄物の最終処分をほぼ全面依存し	たうえ	、廃棄物処理法に定める廃棄物に該当しない「残土」がその投棄物全体の半分近くを占めていることが五日、毎日新聞などの調べで分かった。	1=>Q:継起,0=>その他
950402033-012	28	31	判決は、抗告訴訟についての国側国側の主張を門前払いにし	たうえで	、二十二十一点についても「秘密として保護に値する内容ではない」と公開を求めた。	1=>Q:継起,0=>その他
950106193-004	36	39	声明は「ＯＳＣＥ議長はチェチェンにおける深刻な人権侵害を非難する」とし	たうえで	、チェチェン紛争はロシアだけでなく欧州全域の安全保障に脅威になると指摘し、「軍事活動の即時停止を要求する」と述べた。	1=>Q:継起,0=>その他
950106172-006	65	70	近くに住むパート勤務の女性は「昨年夏の午後四時から五時ごろ、関根容疑者がシベリアンハスキーを連れて散歩しているのを二回ほど見掛け	たことがある	」と、降ってわいた騒ぎに驚いていた。	1=>M:経験,0=>その他
950106099-017	48	53	「ようやく上を倒す欲が出てきた」と本人は言うが、九州場所では武蔵川部屋への出げいこを途中でやめ	たこともあっ	た。	1=>M:経験,0=>その他
950106001-008	17	22	しかし、旧民社党が新進党に参加し	たこともあり	、久保氏はさきがけとの連携に意欲を持っている。	1=>M:経験,0=>その他
950106164-003	55	60	県警は懲戒免職懲戒免職も含む処分を検討してきたが、昨年末に古賀利治・同署長が「監督責任を感じた」として自殺し	たこともあり	、処分がどの範囲まで及ぶか注目される。	1=>M:経験,0=>その他
950106087-002	16	19	昨年十一月に大阪へ、単身赴任し	たっきり	、一度も帰らない。	1=>Q:継起,0=>その他
950106158-006	22	25	その際に「携帯電話を持ち込みたい」と申し出	たところ	、「携帯電話は充電が必要だから」と、看護婦を通じて一日一万五千五千円の室料室料を要求された。	1=>M:事後,2=>Q:継起,0=>その他
950106138-005	44	47	「この時は『自治労など支持母体のことを考えなさい』と私が止めたが、自民党の主だっ主だっ	たところ	は知っていた」と語った。	1=>M:事後,2=>Q:継起,0=>その他
950106180-004	7	10	主だっ主だっ	たところ	を紹介すると――。	1=>M:事後,2=>Q:継起,0=>その他
950106211-029	25	28	テープおこししたものを一字一句落とさずに文章化し	たところ	、四百四百字詰め原稿用紙三百三百枚を超えていた。	1=>M:事後,2=>Q:継起,0=>その他
950106082-009	29	32	当時、四十四十四歳の満さんは小学校教諭として脂が乗ってき	たところ	だ。	1=>M:事後,2=>Q:継起,0=>その他
950106065-001	17	20	５日の中国日刊紙・工人日報が報じ	たところ	によると、市場経済化の進展に伴い数年前に廃止されたコメ、麦などの食糧を低価格で供給する配給制度が昨年から四川省の重慶、遼寧省の瀋陽など内陸部の各都市で復活した。	1=>M:事後,2=>Q:継起,0=>その他
950106082-009	29	33	当時、四十四十四歳の満さんは小学校教諭として脂が乗ってき	たところだ	。	1=>Q:逆接仮定,2=>Q:逆接確定,0=>その他
950106180-002	12	15	でも、正月休みが終わっ	たばかり	でヒマもお金も……という人にお勧めしたいのが手近な都内の温泉だ。	1=>M:事後,0=>その他
950106013-040	18	21	再編は、連立の時代としてスタートし	たばかり	だ。	1=>M:事後,0=>その他
950106077-004	132	134	これを受ける形で、総選挙の時期については「懸案の政治改革関連法がまとまったのだから、世に信を問うことが必要」、「おぜん立ては整った」、「早い方が良い」と三首脳が早期解散論に傾いたのに対し、自民党支持の商工団体を抱える日本商工会議所の稲葉興作会頭は「課題を片付ける	ために	、一年ぐらい先がメド」と一線を画した。	1=>Q:理由,2=>Q:目的,0=>その他
950402032-003	10	12	核拡散を食い止める	ために	、一層の国際協調と努力が必要だ。	1=>Q:理由,2=>Q:目的,0=>その他
950106158-013	11	13	「取引先の信用を保つ	ために	、入院中も仕事をしなければならなかった」と話し、提示された料金を支払ったものの、「入院中の通話料でも一万円ぐらいだったのに」と怒りは収まらない。	1=>Q:理由,2=>Q:目的,0=>その他
950401039-012	18	20	欧米の先進諸国にキャッチアップする	ために	は効率的な制度だったといえるが、いま求められているのは「消費者重視」である。	1=>Q:理由,2=>Q:目的,0=>その他
950405043-024	29	31	自らの都合だけで候補者の選定を行い、選挙を楽に戦いたいが	ために	無風に持ち込む談合を繰り返しているようでは、どんな手を講じても投票率は高くならない。	1=>Q:理由,0=>その他
950106192-003	11	13	未来志向の関係構築の	ために	は、過去の問題で日本側が言葉だけではなく、行動で示せ、との姿勢を示した。	1=>Q:理由,0=>その他
950106082-020	10	12	ただ、途中で辞めた	ために	、年金支給額は通常より少ない。	1=>Q:理由,0=>その他
950106076-001	29	31	メキシコのグリア外相が今週末に来日し、通貨不安乗り切りの	ために	日本の協力を要請する。	1=>Q:理由,0=>その他
950106024-004	46	48	この重油は昨年中に北朝鮮に送られる予定だったが、在韓在韓米軍米軍ヘリの軍事境界線越境事件の	ために	米国側が延期を要請していた。	1=>Q:理由,0=>その他
950106214-005	23	25	販売アドバイザーである彼女は、売り上げ促進の	ために	本部から派遣されてきた。	1=>Q:理由,0=>その他
950402033-001	22	24	開かれた行政、国民の「知る権利」を確保する	ための	情報公開条例を独自に制定した自治体は全国で、すでに二百二百五十五十団体を超えている。	1=>D:目的,0=>その他
950106134-004	4	6	「勝つ	ための	増税」。	1=>D:目的,0=>その他
950106023-002	20	22	金額で賃上げ要求を行う連合の方針に従っ	たもの	。	1=>M:回想,0=>その他
950401039-005	67	69	しかし、すでに方針が決定していた案件を「実施時期を確定した」という理由で計画項目に織り込んでいるし、農産物の価格支持制度など先送りし	たもの	も少なくない。	1=>M:回想,0=>その他
950106211-029	8	10	テープおこしし	たもの	を一字一句落とさずに文章化したところ、四百四百字詰め原稿用紙三百三百枚を超えていた。	1=>M:回想,0=>その他
950106001-003	62	64	武村氏と久保亘社会党書記長が昨秋以来会談を重ね、政界の第三極づくりを目指すことで原則合意したのを受け、具体的手順を話し合っ	たもの	だ。	1=>M:回想,0=>その他
950106199-009	29	31	雪道雪道運転のノウハウなどこの国ではいらないのか、と思っ	たもの	だが、巧みな運転にはやはり秘密があった。	1=>M:回想,0=>その他
950106154-002	20	22	関西財界が「日本らしい貢献を」と提案し	たもの	で、大阪府、大阪市などで作る地元協力準備事務局が具体化に向けて動き出している。	1=>M:回想,0=>その他
950106154-006	16	18	光ファイバー網はＮＴＴが敷設し	たもの	を利用する。	1=>M:回想,0=>その他
950106022-003	14	16	韓国政府関係者の話を引用し	たもの	で、最近、米国側から韓国政府に通告があったという。	1=>M:回想,0=>その他
950106158-013	49	51	「取引先の信用を保つために、入院中も仕事をしなければならなかった」と話し、提示された料金を支払っ	たもの	の、「入院中の通話料でも一万円ぐらいだったのに」と怒りは収まらない。	1=>M:回想,0=>その他
950106168-011	63	65	ガリ総長の今回の提案は、国連権限による武力行使が事実上、紛争解決や平和維持・創造につながらないという「非武力方針」を打ち出し	たもの	だが、「安保理権限」に踏み込んだ部分もあり、今後の論議が注目される。	1=>M:回想,0=>その他
950106079-004	57	59	九四年の車種別販売台数では、乗用車は同〇・八％減の三百三百四十四十万四百四百十台となり、四年連続のマイナスとなっ	たもの	の、減少幅は九三年より大幅に改善。	1=>M:回想,0=>その他
950402033-019	31	33	防衛庁も、かつては秘密だったが、今はそうではなくなっなくなっ	たもの	は公開しているというが、それだけで十分かどうか。	1=>M:回想,0=>その他
950402033-010	32	34	国はその後、このうち二十二十三点の公開は「やむを得ない」と認め	たもの	の、主に主に電子機器などを置いてある地下部分の資料二十二十一点については「ＡＳＷＯＣはシーレーン防衛のための中枢基地であり、公開されると国防や警備上、重大な支障が生じる」などと主張、決定の取り消しなどを要求して争ってきた。	1=>M:回想,0=>その他
950106087-012	5	7	そんな出	た切り	夫など、一緒に暮らしてても、暮らさなくてもおんなじ、と思っておりました。	1=>Q:継起,0=>その他
950106082-016	8	9	虎男さんは考え	た末	、妻の方が教師として力が上のような気もした。	1=>Q:継起,0=>その他
950402033-018	29	31	だから、一概にすべてを公開すればいいというものではない。	だから	、一概にすべてを公開すればいいというものではない。	1=>C:理由,0=>その他
950106199-014	17	19	だから限界運転をわきまえている。	だから	限界運転をわきまえている。	1=>C:理由,0=>その他
950106185-003	35	39	ＩＴＣは一年以内に決定を下すが、特許侵害と認定された場合はこの半導体	だけでなく	、これを組み込んだ製品の対米対米輸出も差し止められる可能性がある。	1=>T:添加,0=>その他
950106156-009	21	25	家庭用ゲーム機、おもちゃなどのお年玉商品	だけでなく	、刺し身、牛肉、シャンプー、牛乳など通常の買い物商品もよく売れており、「正月とはいえ消費者はお節料理ばかりを食べているわけでなく、普段通りの生活をしている」ことがうかがえる。	1=>T:添加,0=>その他
950106021-003	18	22	ＣＩＡはこうした政治・安全保障分野	だけでなく	、経済・技術分野でも日本の対米対米貿易の交渉方針、日本企業の高度技術を対象に、情報活動を展開してきた。	1=>T:添加,0=>その他
950106193-004	52	56	声明は「ＯＳＣＥ議長はチェチェンにおける深刻な人権侵害を非難する」としたうえで、チェチェン紛争はロシア	だけでなく	欧州全域の安全保障に脅威になると指摘し、「軍事活動の即時停止を要求する」と述べた。	1=>T:添加,0=>その他
950106081-004	17	21	今後の薬局の役割として「薬を売る	だけでなく	、健康アドバイザーとして消費者と信頼関係をつくっていくことが大事」と提言している。	1=>T:添加,0=>その他
950106180-008	6	8	ビジネス街	だけに	、サラリーマンがよく利用する。	1=>Q:理由,0=>その他
950106211-022	26	28	だれもが興味を持ち、女性なら一度は体験していること	だけに	、サンプルが集めやすく、これといった苦労はない、という。	1=>Q:理由,0=>その他
950106099-007	27	29	入門当時は周囲から「若貴より素質は上」と言われていた	だけに	、師匠の目には物足りなく映る。	1=>Q:理由,0=>その他
950106099-018	18	20	出げいこでここまで上がってきた力士	だけに	、もう一度初心に戻って土にまみれることが、肝要ではなかろうなかろうか。	1=>Q:理由,0=>その他
950106184-003	11	13	マキャベリを生んだ国	だけに	、風邪も政治テクニックの一つになるらしい。	1=>Q:理由,0=>その他
950405043-003	26	29	なのに選挙戦が一向に弾まないのはどうしたわけだろう	だろうか	。	1=>M:否定,0=>その他
950402033-021	82	85	社会状況や周辺の軍事情勢の変化に合わせて、本当に秘密にしなければならない情報と、そうでない情報を明確に区別した、国民に分かる形の基準を作っていくべきではないだろう	だろうか	。	1=>M:否定,0=>その他
950106113-006	55	58	全日本を引退後、北島コーポレーションの子会社の社長としてプレーを続ける原田は「負けた悔しさが強くて、自分が根	っからの	スポーツマンだと再確認した」。	1=>D:起点,0=>その他
950106156-003	69	72	「元日は家で家族と厳粛に過ごす」といった昔ながらの正月ではなく、普段の休日感覚で過ごそう過ごそうとするライフスタイルが消費者の間に定着し	つつある	ようだ。	1=>M:最中,0=>その他
950106151-003	20	23	そのうえで、「五都府県では候補者を固め	つつある	。具体名は挙げられないが、知名度の高い人にお願いしている」と候補者選定の現状を明らかにした。	1=>M:最中,0=>その他
950106158-009	24	25	病院の説明では、二人二人部屋を二人二人で使用し	てい	た初日は三千三千円で、残りの十四日間は、一日あたり一万五千五千円で計算されていた。	1=>M:継続,0=>その他
950106021-016	39	40	電気通信分野の交渉に関連しても郵政省の内部やＮＴＴ、通産省内部からも情報を得	てい	たという。	1=>M:継続,0=>その他
950106191-006	25	26	同氏は当選までロシア内務省法律研究所の教授を務め	てい	た法律学者。	1=>M:継続,0=>その他
950106045-002	34	35	ソマリアの首都モガディシオでアブガル、ムルデサ両氏族両氏族間で起き	てい	た武力抗争で、両氏族両氏族の長老は四日、即時全面停戦を決めた協定に調印した。	1=>M:継続,0=>その他
950401040-023	9	10	相手が交渉を求め	てい	たのだからこそ「戦後の償い」を正常化交渉の議題にさせない駆け引きを、十分展開できたはずであった。	1=>M:継続,0=>その他
950402032-017	43	44	イスラエル、インド、パキスタンは事実上の核兵器保有国とみられているが、ＮＰＴに加盟し	てい	ない。	1=>M:継続,0=>その他
950106007-008	80	81	川崎さんは同二十二十日午後、勤めていた熊谷市の産廃処理工場に男の声の電話を二回受けた後、友人から借りていたドイツ製乗用車で会社を出て以来、行方が分からなくなっ	てい	た。	1=>M:継続,0=>その他
950106113-009	78	79	一方、勝った愛知学泉大の木村功監督も「原田に悪いことをしたかな。でも、選手は外国人に一歩も引かずに立ち向かっていた。褒めてやりたい」と、選手の闘志をたたえ	てい	た。	1=>M:継続,0=>その他
950402032-021	26	27	しかし、核保有国が「持てる者の責任」を十分に果たし	てい	ないことも事実だ。	1=>M:継続,0=>その他
950106118-019	52	53	ボールを相手に渡す危険性が常につきまとうハイパントだけで連覇を成し遂げよう成し遂げようとは、だれも考え	てい	ない。	1=>M:継続,0=>その他
950401039-005	14	15	しかし、すでに方針が決定し	てい	た案件を「実施時期を確定した」という理由で計画項目に織り込んでいるし、農産物の価格支持制度など先送りしたものも少なくない。	1=>M:継続,0=>その他
950106177-004	14	15	新憲法制定交渉が行き詰まっ	てい	た時期で、焦点は交渉に乗ってこないブテレジ・インカタ自由党議長の動向だった。	1=>M:継続,0=>その他
950106178-007	18	19	本殿の前には２０人ほどの行列ができ	てい	た。	1=>M:継続,0=>その他
950106191-009	27	28	先月からグロズヌイに滞在し、ロシアの軍事進攻を非難し	てい	たセルゲイ・コワリョフ下院議員とは対立関係にある。	1=>M:継続,0=>その他
950106199-007	11	12	しかもかなりすり減っ	てい	て、日本ならとても車検をクリアできないような代物である。	1=>M:継続,0=>その他
950106174-004	65	66	伊東氏は六日午前、地元の札幌市で「離党は知事選出馬を前向きに検討するため。前向きに検討するのに党籍があってはいけないと前から思っ	てい	た」と述べた。	1=>M:継続,0=>その他
950106174-006	70	71	伊東氏は昨年十二月二十二十六日、自民党道連の佐藤孝行会長から出馬要請を受け「五五年体制を打破しようしようとする自民党に敬意を持った」と語っ	てい	た。	1=>M:継続,0=>その他
950106158-010	58	59	ところが、この病院で通常、二人二人部屋を一人一人で使用する場合の料金は五千五千円で、一日一万円の「充電料」を計上し	てい	たことになる。	1=>M:継続,0=>その他
950106138-005	51	52	「この時は『自治労など支持母体のことを考えなさい』と私が止めたが、自民党の主だっ主だったところは知っ	てい	た」と語った。	1=>M:継続,0=>その他
950106180-020	11	12	湯船はこぢんまりとし	てい	て、５、６５、６５、６人も入ればいっぱいになるが、畳敷き畳敷きの休憩室は広く、カラオケもある。	1=>M:継続,0=>その他
950106007-008	17	18	川崎さんは同二十二十日午後、勤め	てい	た熊谷市の産廃処理工場に男の声の電話を二回受けた後、友人から借りていたドイツ製乗用車で会社を出て以来、行方が分からなくなっていた。	1=>M:継続,0=>その他
950106177-005	33	34	前大使は交渉促進を考え、同議長を参加させるため再三、説得に出掛け	てい	た。	1=>M:継続,0=>その他
950106113-009	55	56	一方、勝った愛知学泉大の木村功監督も「原田に悪いことをしたかな。でも、選手は外国人に一歩も引かずに立ち向かっ	てい	た。褒めてやりたい」と、選手の闘志をたたえていた。	1=>M:継続,0=>その他
950106184-002	28	29	政治危機の続くイタリアで、暫定政権を目指して調停を進め	てい	たスカルファロ大統領が四日から「風邪でダウン」し調停がストップしたが、政治的な駆け引きの一つという観測が飛び交っている。	1=>M:継続,0=>その他
950106128-005	35	36	午前中に東京都多摩市貝取、山岳ガイド、松井登さんの遺体に続き、同行し	てい	た中野区若宮、会社員、中沢静子さんの遺体が発見された。	1=>M:継続,0=>その他
950106211-029	49	50	テープおこししたものを一字一句落とさずに文章化したところ、四百四百字詰め原稿用紙三百三百枚を超え	てい	た。	1=>M:継続,0=>その他
950106149-002	27	28	当初、捨て場捨て場に困った一般廃棄物の処理を目的とし	てい	たが、その容量が圧迫された格好で、三、四三、四三、四年後には現在の埋め立て地は満杯になる見込み。	1=>M:継続,0=>その他
950106013-047	36	37	保守と新保守の二大政党制は、小沢さんが政治改革で目指すものとして主張し	てい	た。	1=>M:継続,0=>その他
950401040-021	10	11	交渉再開を強く求め	てい	たのは、北朝鮮側であった。	1=>M:継続,0=>その他
950405043-023	24	25	しかし最大の問題は政党が魅力ある選択肢を用意し	てい	ないことであろうあろう。	1=>M:継続,0=>その他
950106021-006	21	22	ＣＩＡ関係筋は、ＣＩＡの情報提供者となっ	てい	た自社自社両党両党の議員の名前を明らかにすることを拒否したが、社会党議員については「長老で、一九八〇年代に月二十二十五万円の報酬を手渡し、党の運動方針などを聞いた」とだけ述べた。	1=>M:継続,0=>その他
950106007-008	51	52	川崎さんは同二十二十日午後、勤めていた熊谷市の産廃処理工場に男の声の電話を二回受けた後、友人から借り	てい	たドイツ製乗用車で会社を出て以来、行方が分からなくなっていた。	1=>M:継続,0=>その他
950401040-020	38	39	実は、北朝鮮は今年に入ってから「無条件の朝日朝日交渉再開」を繰り返し表明し	てい	た。	1=>M:継続,0=>その他
